error_event_id,error_type_id,user_id,session_id,event_id,product_id,occurred_at,message,stack_trace,http_status_code,client_info_json
38,3,156,653,7822,3,2025-02-12 10:18:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
39,1,159,669,8023,2,2025-01-28 19:18:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
40,4,37,154,1898,4,2025-01-20 10:29:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
41,4,74,311,3721,3,2025-02-18 12:29:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
42,2,77,328,3922,5,2025-01-01 12:21:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
43,2,72,302,3616,2,2025-01-05 15:30:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
44,2,142,596,7173,1,2025-02-28 16:51:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
45,1,87,365,4377,1,2025-02-01 18:10:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
46,2,160,670,8031,3,2025-02-10 11:17:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
47,1,30,120,1483,5,2025-02-02 16:26:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
48,4,154,647,7739,3,2025-02-02 10:17:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
49,4,125,528,6348,5,2025-01-26 18:08:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
50,4,89,370,4440,1,2025-02-28 20:17:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
51,4,177,727,8716,1,2025-01-05 10:05:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
52,1,154,647,7741,5,2025-02-02 10:20:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
53,3,117,497,5991,1,2025-01-31 20:10:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
54,3,17,76,966,1,2025-02-16 12:12:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
55,1,35,146,1784,4,2025-01-11 14:06:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
56,3,52,226,2719,4,2025-01-18 17:42:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
57,3,21,85,1077,1,2025-01-17 19:31:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
58,4,61,258,3112,1,2025-02-08 13:13:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
59,1,138,582,6974,4,2025-02-13 14:15:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
60,4,119,506,6109,4,2025-01-25 16:34:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
61,2,45,205,2479,1,2025-02-21 11:28:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
62,4,159,668,8009,4,2025-02-19 11:32:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
63,4,135,566,6782,1,2025-01-06 08:13:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
64,1,1,3,40,4,2025-01-30 14:46:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
65,1,99,407,4878,4,2025-02-21 16:04:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
66,3,158,666,7982,4,2025-01-01 19:45:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
67,4,100,410,4922,1,2025-02-26 08:21:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
68,2,100,409,4909,3,2025-01-06 08:01:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
69,3,45,203,2448,1,2025-02-11 09:27:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
70,2,23,93,1184,4,2025-01-23 19:48:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
71,2,76,322,3843,1,2025-02-02 15:31:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
72,1,181,742,8889,5,2025-02-21 14:18:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
73,4,52,229,2751,2,2025-01-26 19:12:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
74,1,11,52,648,2,2025-02-23 14:08:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
75,3,9,39,484,2,2025-02-06 18:06:00,Simulated JS_RUNTIME_ERROR on /signup,Traceback (most recent call last): ...,200,{}
76,1,30,120,1480,2,2025-02-02 16:17:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
77,2,45,204,2465,3,2025-02-08 18:31:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
78,2,32,130,1617,5,2025-02-13 18:21:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
79,3,60,256,3091,4,2025-02-26 14:08:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
80,4,59,251,3024,5,2025-02-04 20:07:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
81,1,158,666,7972,5,2025-01-01 19:23:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
82,1,166,690,8273,3,2025-01-14 19:16:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
83,4,68,293,3496,5,2025-01-28 10:14:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
84,2,48,217,2615,4,2025-02-16 18:39:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
85,1,34,139,1714,2,2025-02-26 20:26:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
86,1,132,557,6691,3,2025-01-04 13:12:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
87,3,135,567,6799,4,2025-01-27 09:24:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
88,1,17,76,972,2,2025-02-16 12:27:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
89,3,122,516,6228,5,2025-02-15 11:12:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
90,3,36,148,1806,3,2025-03-01 09:05:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
91,2,176,720,8649,2,2025-02-15 16:16:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
92,3,85,357,4282,2,2025-02-06 13:23:00,Simulated JS_RUNTIME_ERROR on /signup,Traceback (most recent call last): ...,200,{}
93,3,86,361,4337,3,2025-02-09 19:38:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
94,2,59,249,3002,4,2025-02-24 18:25:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
95,1,142,597,7174,2,2025-02-16 12:03:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
96,3,134,564,6761,1,2025-02-18 11:06:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
97,4,9,41,519,5,2025-01-13 09:28:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
98,1,74,310,3707,4,2025-02-20 10:39:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
99,2,184,750,8955,4,2025-02-24 09:30:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
100,1,13,62,795,3,2025-01-13 18:21:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
101,4,75,319,3796,1,2025-01-06 14:10:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
102,2,81,346,4152,1,2025-02-20 12:15:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
103,1,116,493,5939,5,2025-01-05 19:16:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
104,2,112,477,5732,2,2025-02-23 11:19:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
105,4,169,703,8457,2,2025-02-01 21:33:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
106,3,108,449,5406,3,2025-01-11 17:41:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
107,4,186,756,9020,3,2025-02-03 14:04:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
108,4,188,769,9151,4,2025-01-26 19:01:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
109,1,79,339,4081,2,2025-01-15 13:10:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
110,1,163,678,8133,1,2025-02-03 20:04:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
111,2,154,643,7682,4,2025-02-01 18:21:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
112,2,180,740,8860,2,2025-02-06 16:19:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
113,1,188,771,9185,2,2025-01-15 09:26:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
114,4,77,329,3945,3,2025-01-09 08:56:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
115,3,75,316,3769,5,2025-02-23 12:16:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
116,1,129,542,6508,2,2025-01-13 18:20:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
117,1,165,687,8234,1,2025-01-24 08:14:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
118,3,191,781,9285,5,2025-01-12 15:25:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
119,3,164,681,8167,4,2025-01-23 12:28:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
120,3,161,674,8095,5,2025-02-11 08:37:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
121,2,46,209,2518,4,2025-02-08 12:11:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
122,3,105,434,5222,1,2025-01-15 18:30:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
123,4,149,629,7525,4,2025-01-09 19:19:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
124,4,139,585,7007,3,2025-02-17 21:14:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
125,2,59,254,3065,1,2025-01-22 10:20:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
126,4,45,204,2459,5,2025-02-08 18:11:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
127,4,49,218,2628,5,2025-02-19 10:20:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
128,3,155,652,7813,2,2025-01-19 14:31:00,Simulated JS_RUNTIME_ERROR on /signup,Traceback (most recent call last): ...,200,{}
129,4,155,652,7812,2,2025-01-19 14:29:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
130,1,138,581,6957,2,2025-01-18 11:04:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
131,2,102,426,5130,3,2025-01-20 20:38:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
132,3,164,682,8175,4,2025-02-08 17:08:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
133,1,51,223,2686,3,2025-01-31 11:13:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
134,3,195,805,9557,1,2025-01-14 10:09:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
135,1,23,91,1157,2,2025-01-20 11:38:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
136,4,189,774,9210,1,2025-02-02 14:18:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
137,4,121,514,6203,3,2025-02-17 18:38:00,Simulated TIMEOUT_API on /dashboard,Traceback (most recent call last): ...,200,{}
138,2,119,507,6113,1,2025-01-07 11:10:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
139,3,98,403,4833,5,2025-02-06 16:24:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
140,2,75,316,3774,5,2025-02-23 12:29:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
141,1,148,625,7482,1,2025-02-23 09:09:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
142,4,159,667,7986,4,2025-02-19 16:09:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
143,2,192,790,9372,3,2025-01-18 17:23:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
144,1,109,453,5448,4,2025-01-05 08:23:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
145,1,92,379,4550,1,2025-02-13 10:23:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
146,4,142,601,7218,2,2025-02-17 09:05:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
147,3,6,22,264,3,2025-01-21 18:09:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
148,4,199,814,9657,2,2025-01-10 09:03:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
149,3,199,814,9666,1,2025-01-10 09:26:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
150,3,91,375,4504,5,2025-01-18 21:26:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
151,4,64,274,3273,5,2025-02-09 19:13:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
152,1,91,375,4506,4,2025-01-18 21:28:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
153,3,156,654,7830,3,2025-01-28 08:05:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
154,2,111,469,5640,5,2025-01-07 17:27:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
155,1,78,334,4002,4,2025-03-01 09:30:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
156,4,157,656,7855,1,2025-02-21 13:10:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
157,1,179,735,8802,3,2025-02-20 17:01:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
158,4,165,685,8215,5,2025-01-13 10:32:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
159,4,123,522,6301,2,2025-01-04 09:18:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
160,2,165,686,8224,5,2025-02-26 14:19:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
161,1,168,698,8381,4,2025-01-19 09:15:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
162,2,172,712,8561,5,2025-01-29 10:38:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
163,1,139,583,6976,3,2025-01-24 20:04:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
164,3,156,654,7832,3,2025-01-28 08:12:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
165,3,60,256,3092,3,2025-02-26 14:09:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
166,4,65,279,3335,4,2025-01-12 13:10:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
167,1,49,220,2652,4,2025-02-11 10:29:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
168,3,108,448,5383,1,2025-02-06 19:25:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
169,2,124,524,6313,3,2025-02-17 19:17:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
170,2,111,469,5634,2,2025-01-07 17:11:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
171,4,131,548,6579,1,2025-02-07 12:14:00,Simulated TIMEOUT_API on /,Traceback (most recent call last): ...,200,{}
172,3,5,21,252,5,2025-02-06 16:14:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
173,1,159,667,7989,1,2025-02-19 16:13:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
174,3,160,670,8026,3,2025-02-10 11:06:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
175,3,199,815,9679,2,2025-02-26 19:06:00,Simulated JS_RUNTIME_ERROR on /signup,Traceback (most recent call last): ...,200,{}
176,3,112,474,5699,5,2025-02-20 09:28:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
177,1,137,578,6927,2,2025-02-15 21:14:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
178,4,167,695,8342,5,2025-02-16 20:19:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
179,3,76,323,3858,3,2025-01-05 20:27:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
180,1,180,739,8850,3,2025-01-11 17:37:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
181,4,99,404,4839,5,2025-01-08 08:11:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
182,2,123,518,6267,1,2025-01-15 12:40:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
183,2,13,62,800,1,2025-01-13 18:40:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
184,3,126,531,6392,3,2025-01-26 21:29:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
185,3,175,718,8622,1,2025-02-21 12:09:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
186,4,121,513,6179,5,2025-02-12 14:28:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
187,2,184,750,8958,3,2025-02-24 09:36:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
188,1,97,399,4794,3,2025-02-21 14:21:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
189,2,81,344,4128,3,2025-01-09 18:04:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
190,3,107,443,5317,3,2025-01-30 14:02:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
191,3,193,793,9406,4,2025-01-26 11:08:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
192,1,119,506,6104,4,2025-01-25 16:21:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
193,1,101,414,4973,5,2025-01-04 15:13:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
194,1,112,472,5667,3,2025-01-19 10:03:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
195,1,76,325,3882,4,2025-01-03 13:29:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
196,3,154,647,7740,3,2025-02-02 10:19:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
197,3,53,230,2772,4,2025-02-20 16:29:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
198,4,8,30,347,2,2025-02-13 19:05:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
199,2,184,750,8954,3,2025-02-24 09:26:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
200,1,77,330,3949,1,2025-01-23 16:05:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
201,4,116,491,5915,5,2025-02-27 12:10:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
202,3,69,295,3519,5,2025-01-15 17:11:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
203,3,149,629,7522,5,2025-01-09 19:09:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
204,1,23,94,1189,3,2025-02-24 21:12:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
205,1,145,613,7360,5,2025-02-05 21:27:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
206,3,65,278,3329,1,2025-01-23 13:38:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
207,3,77,327,3904,4,2025-01-30 14:09:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
208,4,43,180,2190,2,2025-01-17 15:03:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
209,2,17,76,971,5,2025-02-16 12:26:00,Simulated 404_NOT_FOUND on /billing,Traceback (most recent call last): ...,200,{}
210,1,44,188,2276,4,2025-01-08 15:04:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
211,2,41,172,2099,2,2025-02-15 10:13:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
212,1,56,240,2886,2,2025-01-25 15:26:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
213,1,57,245,2944,2,2025-01-02 14:11:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
214,4,191,781,9281,2,2025-01-12 15:18:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
